Tipo,Evento_Desemparelhado,Data/Hora Evento,Sequência,Tipo Mensagem,Observação
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:27:06,556,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:27:39, seq: 557)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:27:39,557,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:28:03, seq: 558)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:27:39,557,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:28:03,558,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:29:59, seq: 559)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:28:03,558,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:29:59,559,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:29:59,559,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:30:42, seq: 560)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:30:42,560,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:30:42,560,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:31:12, seq: 562)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:31:12,562,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:32:11, seq: 563)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:31:12,562,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:32:11,563,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:32:11,563,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:38:24, seq: 565)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 14:38:24,565,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 14:40:58, seq: 567)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 14:38:24,565,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
